,id,data_validazione,seriale,fermata,descrizione,titolo,descrizione_titolo,lon,lat
33900,12448850,2023-02-13 12:43:00,65694526471041797,5003,Lido S.M.E. ,11107,"48h-Tpl 29,90-ComVe5,10",12.367735,45.41748
33901,12474378,2023-02-13 15:56:00,65694526471041797,5089,"Ferrovia ""D""",11107,"48h-Tpl 29,90-ComVe5,10",12.321242,45.440216
33902,12486497,2023-02-13 17:14:00,65694526471041797,5085,Tre Archi,11107,"48h-Tpl 29,90-ComVe5,10",12.319737,45.446369
33903,12480988,2023-02-13 16:39:00,65694526706186501,6084,VENEZIA CORS,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.31911,45.437992
33904,12492553,2023-02-13 17:54:00,65694526706514181,506,VENEZIA,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.319207,45.438255
33905,12487806,2023-02-13 17:22:00,65694526707036677,514,VENEZIA,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.31919,45.437824
33906,12487535,2023-02-13 17:20:00,65694526708020485,633,Correnti Cap,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.22243,45.465832
33907,12467233,2023-02-13 15:07:00,65694526708348933,5096,Murano Faro ,11261,"DailyP-Tpl19,90-C.Ve5,10",12.354642,45.452663
33908,12506664,2023-02-13 21:00:00,65694526708481029,5031,"P.le Roma ""G",11101,"75'-Tpl 8,64-ComVe0,86",12.319038,45.438816
33909,12487534,2023-02-13 17:20:00,65694526709006085,633,Correnti Cap,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.22243,45.465832
33910,12467048,2023-02-13 15:05:00,65694526709329925,506,VENEZIA,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.319207,45.438255
33911,12455374,2023-02-13 13:36:00,65694526709330949,5096,Murano Faro ,11261,"DailyP-Tpl19,90-C.Ve5,10",12.354642,45.452663
33912,12474194,2023-02-13 15:54:00,65694526709330949,5113,"Burano ""C""",11261,"DailyP-Tpl19,90-C.Ve5,10",12.416754,45.487572
33913,12506666,2023-02-13 21:00:00,65694526709463557,5031,"P.le Roma ""G",11101,"75'-Tpl 8,64-ComVe0,86",12.319038,45.438816
33914,12424461,2023-02-13 09:48:00,65694526709856005,5028,"P.le Roma ""E",11261,"DailyP-Tpl19,90-C.Ve5,10",12.318463,45.439388
33915,12455735,2023-02-13 13:40:00,65694526709856005,5113,"Burano ""C""",11261,"DailyP-Tpl19,90-C.Ve5,10",12.416754,45.487572
33916,12498714,2023-02-13 18:50:00,65694526709856005,5039,"Rialto ""C""",11261,"DailyP-Tpl19,90-C.Ve5,10",12.335405,45.437428
33917,12492401,2023-02-13 17:53:00,65694526710512389,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33918,12442396,2023-02-13 11:54:00,65694526711166469,5113,"Burano ""C""",11107,"48h-Tpl 29,90-ComVe5,10",12.416754,45.487572
33919,12442717,2023-02-13 11:57:00,65694526711166469,5151,"Burano ""A""",11107,"48h-Tpl 29,90-ComVe5,10",12.415232,45.48769
33920,12456225,2023-02-13 13:44:00,65694526711166469,5113,"Burano ""C""",11107,"48h-Tpl 29,90-ComVe5,10",12.416754,45.487572
33921,12500526,2023-02-13 19:11:00,65694526711166469,5132,S. Marcuola-,11107,"48h-Tpl 29,90-ComVe5,10",12.328278,45.442513
33922,12442520,2023-02-13 11:55:00,65694526711230981,5113,"Burano ""C""",11261,"DailyP-Tpl19,90-C.Ve5,10",12.416754,45.487572
33923,12467728,2023-02-13 15:10:00,65694526711230981,5076,San Marco-Sa,11261,"DailyP-Tpl19,90-C.Ve5,10",12.344095,45.433514
33924,12481451,2023-02-13 16:41:00,65694526711230981,5053,S. Marco Val,11261,"DailyP-Tpl19,90-C.Ve5,10",12.337271,45.432125
33925,12492216,2023-02-13 17:52:00,65694526711494405,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33926,12474994,2023-02-13 16:00:00,65694526712413701,1212,Passo Campal,12106,Bigl Aer-Venezia TSC,12.295866,45.485973
33927,12474993,2023-02-13 16:00:00,65694526712476677,1212,Passo Campal,12106,Bigl Aer-Venezia TSC,12.295866,45.485973
33928,12467237,2023-02-13 15:07:00,65694526713196549,5096,Murano Faro ,11261,"DailyP-Tpl19,90-C.Ve5,10",12.354642,45.452663
33929,12473476,2023-02-13 15:49:00,65694526716342277,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33930,12481666,2023-02-13 16:43:00,65694526717720069,1077,Terraglio Vi,12101,Bigl.Aut.75'Mestre/Lido-tsc,12.23807,45.513634
33931,12418232,2023-02-13 08:59:00,65694526719029765,5031,"P.le Roma ""G",11109,Biglietto 72 ore Roll. Venice,12.319038,45.438816
33932,12423473,2023-02-13 09:40:00,65694526719029765,5013,S. Marco-San,11109,Biglietto 72 ore Roll. Venice,12.342007,45.433342
33933,12455280,2023-02-13 13:36:00,65694526719160837,506,VENEZIA,12106,Bigl Aer-Venezia TSC,12.319207,45.438255
33934,12424915,2023-02-13 09:51:00,65694526719161605,5032,"Ferrovia ""B""",11261,"DailyP-Tpl19,90-C.Ve5,10",12.322042,45.440937
