descrizione_titolo,titolo,avg_stops,num_tickets,type,period
24h online aerobus CS 1 mese,11386,2.0,3,Tourist,1 day
24h-24 ore ,11105,2.1843971631205674,141,Tourist,1 day
"24hAerAR-Tpl32,90-CVe5,10",11236,4.18348623853211,109,Tourist,1 day
"24hAerCS-Tpl26,90-CVe5,10",11226,4.318376068376068,936,Tourist,1 day
24ore online aerobus AR,11251,4.25,40,Tourist,1 day
24ore online aerobus CS,11341,4.976744186046512,86,Tourist,1 day
24ore online no aerobus,11302,2.6153846153846154,13,Tourist,1 day
48h online aerobus AR 1 mese,11392,6.8,15,Tourist,2 days
48h online aerobus CS 1 mese,11387,8.210526315789474,38,Tourist,2 days
48h online no aerobus 1mese,11382,6.768802228412256,359,Tourist,2 days
"48h-Tpl 29,90-ComVe5,10",11107,6.408943616331821,41661,Tourist,2 days
"48hAerAR-Tpl42,90-CVe5,10",11238,7.746556473829201,363,Tourist,2 days
"48hAerCS-Tpl36,90-CVe5,10",11228,7.832203389830508,590,Tourist,2 days
48ore online aerobus AR,11253,7.973333333333334,150,Tourist,2 days
48ore online aerobus CS,11343,7.683823529411764,136,Tourist,2 days
48ore online no aerobus,11304,6.137641025641026,4875,Tourist,2 days
7 days online aerobus AR,11255,13.855042016806722,476,Tourist,7 days
7 days online aerobus AR 1mese,11395,14.571428571428571,175,Tourist,7 days
7 days online aerobus CS,11345,12.337662337662335,77,Tourist,7 days
7 days online aerobus CS 1mese,11390,14.703703703703704,27,Tourist,7 days
7 days online no aerobus,11306,12.114093959731544,2682,Tourist,7 days
7 days online no aerobus 1mese,11384,13.908256880733944,327,Tourist,7 days
72 ore R.Venice online,11551,8.295274515159793,3661,Tourist,3 days
72 ore R.Venice+aeroporto AR,11240,10.695,600,Tourist,3 days
72 ore R.Venice+aeroporto CS,11230,9.68948247078464,599,Tourist,3 days
72H R.Venice+aerop.AR online,11553,10.463104325699746,393,Tourist,3 days
72H RVenice+aerop.CS online,11552,8.840989399293287,283,Tourist,3 days
72h R.Ve.+aer.AR online 1mese,11394,10.112903225806452,62,Tourist,3 days
72h R.Venice online 1 mese,11385,7.988274706867672,597,Tourist,3 days
72h RVe+aerop.CS online 1 mese,11389,8.79,100,Tourist,3 days
72h online aerobus AR 1 mese,11393,11.333333333333334,78,Tourist,3 days
72h online aerobus CS 1 mese,11388,8.852459016393443,61,Tourist,3 days
72h online no aerobus 1mese,11383,9.39245283018868,530,Tourist,3 days
"72h-Tpl 38,40-ComVe6,60",11108,8.221641468682506,23150,Tourist,3 days
"72hAerAR-Tpl51,40-CVe6,60",11239,10.383219954648526,882,Tourist,3 days
"72hAerCS-Tpl45,40-CVe6,60",11229,9.815566835871405,591,Tourist,3 days
72ore online aerobus AR,11254,9.555992141453832,509,Tourist,3 days
72ore online aerobus CS,11344,8.24102564102564,195,Tourist,3 days
72ore online no aerobus,11305,8.136936389858812,6587,Tourist,3 days
"75'-Tpl 12,60-CVe2,40 online",11550,1.0,3,Other,75 mins
"75'-Tpl 6,64-ComVe0,86",5,1.0637569977192618,9646,Other,75 mins
"75'-Tpl 8,64-ComVe0,86",11136,1.1760856632956571,1681,Other,75 mins
"75'-Tpl 8,64-ComVe0,86",11101,1.079349435788332,383544,Other,75 mins
"7gg-Tpl 48,60-ComVe16,40",11149,13.251062186172268,7767,Tourist,7 days
"7ggAerAR-Tpl61,60-CVe16,40",11241,15.5625,624,Tourist,7 days
"7ggAerCS-Tpl55,60-CVe16,40",11231,15.286885245901638,122,Tourist,7 days
ANNUALE park+Rete intera,22108,1.0,1,Other,1 Year
ARRIVA Aeroporto BORDO,7019,1.0,4,Other,Other
