,DESCRIZIONE,lon,lat
0,"Ferrovia ""B""",12.322042,45.440937
1,S. Elena DX,12.360782,45.42532
3,"S. Zaccaria (Pieta') ""A""",12.344964,45.433395
7,P.le Roma (Hotel S. Chiar,12.319465,45.438667
8,Tronchetto 'B' SX,12.306348,45.440094
10,"Lido (S.M.E.) ""B""",12.368725,45.417992
11,Bacini - Arsenale Nord,12.357293,45.439205
12,Chioggia P.tta Vigo,12.280678,45.22369
13,S. Marcuola-Casino' DX,12.32882,45.442444
17,Punta Sabbioni DX,12.424333,45.447338
22,TERRA,12.242548,45.491853
27,Alberoni Faro Rocchetta N,12.308979,45.341526
29,Piazzale Roma,12.318223,45.438038
32,"Rialto ""D""",12.335558,45.437584
124,S. Marco (Vallaresso) SX,12.337271,45.432125
131,Giardini Biennale SX,12.355934,45.429047
136,S. Toma' SX,12.327917,45.435184
140,Giudecca Palanca SX,12.325638,45.426849
177,"F.te Nove ""C""",12.340888,45.443016
186,Treporti,12.447123,45.471558
196,Arsenale DX,12.348552,45.432774
197,Burano DX per Treporti,12.416217,45.487602
398,San Stae,12.330798,45.441746
414,Zitelle SX,12.337905,45.42672
469,"Murano Colonna ""A""",12.349192,45.451107
542,Zattere SX,12.32628,45.42926
763,S. Angelo,12.33035,45.435596
813,S. Pietro di Castello,12.361842,45.433834
922,Lido bus,12.353001,45.390778
925,Celestia,12.349658,45.439079
1065,Aeroporto,12.339106,45.504976
1667,S. Silvestro,12.333188,45.43681
1952,S. Maria del Giglio,12.332637,45.431431
2087,S. Alvise,12.329509,45.448704
2999,Rialto Mercato,12.335298,45.439453
3190,S. Marta,12.31126,45.433571
3214,Guglie dx,12.32445,45.444294
3220,Crea,12.321106,45.445278
3234,S. Basilio,12.320824,45.430534
3246,Cimitero S. Michele,12.345977,45.448673
4395,Lido S. Nicolo' M/N,12.377113,45.424339
5281,Madonna dell'Orto,12.332901,45.447674
5548,Ca' D'Oro,12.333899,45.440563
5780,Stazione Mestre,12.231809,45.482675
6384,Pellestrina Cimitero M/N,12.299958,45.262791
6853,Tre Archi,12.31978,45.446289
6913,Salute,12.334374,45.431171
6959,Ca' Rezzonico,12.327133,45.433285
7158,Sacca Fisola DX,12.315648,45.429008
7786,Riva de Biasio SX,12.325667,45.441998
9459,Torcello,12.412183,45.49509
9824,Redentore,12.332047,45.425579
9946,Mazzorbo,12.409512,45.488094
10154,S. Giorgio,12.342235,45.42947
10578,S. Erasmo Chiesa,12.410089,45.459461
11140,Santa Maria Del Mare,12.317962,45.332775
12584,S. Samuele,12.3276,45.433479
14520,S. Erasmo Capannone,12.388567,45.454636
14731,S. Erasmo Punta Vela,12.42021,45.46838
16850,S. Servolo,12.35535,45.419617
21308,S. Maria del Mare N/T,12.316975,45.332737
22251,S. Lazzaro,12.359925,45.412113
22570,Certosa,12.367321,45.430897
45055,Spirito Santo,12.331958,45.42831
48316,Accademia DX,12.328523,45.431736
163467,Ospedale,12.344753,45.44088
711476,Vignole,12.376256,45.443707
