"stop_id","fermata","descrizione","lat","lon"
1,5501,"P.le Roma (Hotel S. Chiar",45.438667,12.319465
2,15060,"F.te Nove ""C""",45.443016,12.340888
3,15085,"Tre Archi",45.446289,12.31978
4,15108,"Punta Sabbioni DX",45.447338,12.424333
5,25085,"Tre Archi",45.446289,12.31978
6,5001,"Lido (S.M.E.) ""B""",45.417992,12.368725
7,5002,"Lido (S.M.E.) ""C"" dir. Ve",45.417683,12.368217
8,5003,"Lido (S.M.E.) ""D""",45.41748,12.367735
9,5004,"S. Elena DX",45.42532,12.360782
10,5005,"S. Elena SX",45.425426,12.360565
11,5006,"Giardini Biennale SX",45.429047,12.355934
12,5007,"Giardini SX",45.429848,12.354835
13,5008,"Arsenale DX",45.432774,12.348552
14,5009,"S. Zaccaria (Pieta') ""A""",45.433395,12.344964
15,5010,"Fusina",45.418373,12.258713
16,5011,"S. Zaccaria (Jolanda) ""D""",45.433456,12.342809
17,5012,"S. Zaccaria (Jolanda) ""C""",45.433491,12.343048
18,5013,"S. Zaccaria (Danieli) ""F""",45.433342,12.342007
19,5014,"S. Zaccaria (Danieli) ""E""",45.433384,12.342215
20,5015,"S. Marta",45.433571,12.31126
21,5017,"Caroman",45.243614,12.294001
22,5018,"Certosa",45.430897,12.367321
23,5019,"Celestia",45.439079,12.349658
24,5020,"Ospedale",45.44088,12.344753
25,5021,"S. Giorgio",45.42947,12.342235
26,5022,"Giudecca Palanca SX",45.426849,12.325638
27,5023,"Sacca Fisola DX",45.429008,12.315648
28,5024,"Tronchetto 'B' SX",45.440094,12.306348
29,5025,"Tronchetto 'B'  DX",45.440308,12.306533
30,5026,"Tronchetto N/T",45.438023,12.303988
31,5027,"P.le Roma (Scomenzera) ""C",45.43985,12.317839
32,5028,"P.le Roma (Parisi) ""E""",45.439388,12.318463
33,5029,"P.le Roma (Parisi) ""D""",45.439556,12.318337
34,5030,"P.le Roma (S. Chiara) ""F""",45.438923,12.31883
35,5031,"P.le Roma (S. Chiara) ""G""",45.438816,12.319038
36,5032,"Ferrovia ""B""",45.440937,12.322042
37,5033,"Ferrovia ""A""",45.441017,12.322206
38,5034,"Riva de Biasio SX",45.441998,12.325667
39,5035,"S. Marcuola-Casino' DX",45.442444,12.32882
40,5036,"San Stae",45.441746,12.330798
41,5037,"Ca' D'Oro",45.440563,12.333899
42,5038,"Rialto ""D""",45.437584,12.335558
43,5039,"Rialto ""C""",45.437428,12.335405
44,5040,"Rialto ""B""",45.437088,12.334779
45,5041,"S. Silvestro",45.43681,12.333188
46,5042,"S. Angelo",45.435596,12.33035
47,5043,"S. Toma' SX",45.435184,12.327917
48,5044,"S. Toma' DX",45.435249,12.328128
49,5045,"Ca' Rezzonico",45.433285,12.327133
50,5046,"S. Samuele",45.433479,12.3276
51,5048,"Accademia DX",45.431736,12.328523
52,5049,"Zattere SX",45.42926,12.32628
